,host_listings_count,host_total_listings_count,bathrooms,bedrooms,beds
8098,1.0,2.0,1.5,2.0,2.3
8099,204.0,827.0,1.0,1.0,3.0
8100,115.0,120.0,1.0,1.0,1.0
8101,63.0,238.0,1.0,2.0,2.0
8102,63.0,238.0,1.5,3.0,2.3
8103,1.0,2.0,1.0,1.0,1.0
8104,3.0,3.0,1.0,1.0,1.0
8105,3.0,3.0,1.0,0.0,1.0
8106,23.0,39.0,2.0,1.0,2.0
8107,3.0,3.0,1.5,4.0,2.3
8108,2.0,4.0,1.0,1.0,2.0
8109,842.0,921.0,1.0,1.0,1.0
8110,52.0,86.0,1.0,1.0,1.0
8111,3.0,4.0,2.0,2.0,3.0
8112,129.0,168.0,2.0,2.0,3.0
8113,3.0,4.0,1.0,1.0,1.0
8114,2.0,2.0,2.5,3.0,4.0
8115,842.0,921.0,1.0,2.0,2.0
8116,842.0,921.0,1.0,1.0,1.0
8117,1.0,2.0,1.0,1.0,1.0
8118,1.0,1.0,1.0,1.0,2.0
8119,1.0,2.0,1.0,2.0,2.0
8120,1.0,2.0,1.0,1.0,2.0
8121,129.0,168.0,2.0,2.0,3.0
8122,7.0,7.0,2.0,1.0,1.0
8123,3.0,3.0,1.5,2.0,2.3
8124,41.0,43.0,1.0,1.0,2.0
8125,1.0,1.0,1.5,1.9,2.3
8126,2.0,2.0,1.0,1.0,1.0
8127,2.0,4.0,1.0,1.0,1.0
8128,9.0,16.0,3.5,4.0,5.0
8129,28.0,35.0,1.0,1.0,1.0
8130,30.0,39.0,1.0,1.0,1.0
8131,2.0,2.0,1.5,2.0,2.3
8132,30.0,39.0,5.0,8.0,8.0
8133,3.0,3.0,1.0,0.0,1.0
8134,129.0,168.0,3.0,4.0,4.0
8135,6.0,7.0,1.0,1.0,1.0
